latitude,longitude
24.666667999999998,89.400986
22.3948,91.8365
22.3991,91.8342
22.3991,91.8604
22.3455,91.8342
22.3455,91.8604
22.3991,91.8342
22.3991,91.8604
22.3455,91.8342
22.3455,91.8604
23.029947,91.40091
21.189644,92.16682
25.6252,89.2493
25.6252,88.5595
24.0034,89.2493
24.0034,88.5595
25.6252,89.2493
25.6252,88.5595
24.0034,89.2493
24.0034,88.5595
25.6252,89.2493
25.6252,88.5595
24.0034,89.2493
24.0034,88.5595
25.6252,89.2493
25.6252,88.5595
24.0034,89.2493
24.0034,88.5595
23.721266,90.41166
23.721266,90.41171999999999
23.721266,90.41164
23.721281,90.41166
23.721281,90.41171999999999
23.721281,90.41164
23.721273,90.41166
23.721273,90.41171999999999
23.721273,90.41164
23.721266,90.41166
23.721266,90.41171999999999
23.721266,90.41164
23.721281,90.41166
23.721281,90.41171999999999
23.721281,90.41164
23.721273,90.41166
23.721273,90.41171999999999
23.721273,90.41164
23.721266,90.41166
23.721266,90.41171999999999
23.721266,90.41164
23.721281,90.41166
23.721281,90.41171999999999
23.721281,90.41164
23.721273,90.41166
23.721273,90.41171999999999
23.721273,90.41164
24.252253,89.91490999999999
24.252253,89.91758
24.252253,89.93734
24.248852,89.91490999999999
24.248852,89.91758
24.248852,89.93734
24.252253,89.91490999999999
24.252253,89.91758
24.252253,89.93734
24.248852,89.91490999999999
24.248852,89.91758
24.248852,89.93734
24.252253,89.91490999999999
24.252253,89.91758
24.252253,89.93734
24.248852,89.91490999999999
24.248852,89.91758
24.248852,89.93734
23.68712,90.43733
24.882883,91.90052
23.93535,90.71903
23.93535,90.71905
23.935326,90.71903
23.935326,90.71905
23.93535,90.71903
23.93535,90.71905
23.935326,90.71903
23.935326,90.71905
22.334303,91.81384
23.711712,90.42657
22.3455,91.8342
22.3948,91.8365
22.376196,91.78138
23.125237,91.293785
22.342342000000002,91.7918
22.330832,91.80069
22.330832,91.80227
22.330965,91.80069
22.330965,91.80227
22.330832,91.80069
22.330832,91.80227
22.330965,91.80069
22.330965,91.80227
22.28142,91.78193
24.746576,90.40347
22.3948,91.8365
23.932512,90.717865
23.488375,91.00641999999999
22.941357,90.951195
23.020805,91.40276
